District Name,District Code,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
Abby Kelley Foster Charter Public (District),4450000,82,72,87.8,0,31.9,13.9,54.2,13.9,23.6,26.4
Abington,10000,108,92,85.2,0,37,27.2,35.9,26.1,14.1,8.7
Academy Of the Pacific Rim Charter Public (District),4120000,38,33,86.8,0,39.4,9.1,51.5,9.1,18.2,27.3
Acton-Boxborough,6000000,489,436,89.2,0,48.9,4.8,46.3,4.6,2.5,16.5
Acushnet,30000,1,,,,,,,,,
Adams-Cheshire,6030000,80,51,63.8,0,27.5,25.5,47.1,23.5,37.3,0
Advanced Math and Science Academy Charter (District),4300000,117,108,92.3,0,52.8,0.9,46.3,0.9,8.3,23.1
Agawam,50000,265,207,78.1,0,35.7,38.6,25.6,36.7,12.6,7.2
Amesbury,70000,139,98,70.5,0,29.6,30.6,39.8,28.6,6.1,22.4
Amherst-Pelham,6050000,210,157,74.8,0,42,31.2,26.8,29.3,3.8,17.2
Andover,90000,444,389,87.6,0,53.5,8.2,38.3,8,5.1,15.2
Arlington,100000,350,290,82.9,0.3,52.8,7.2,39.7,7.2,6.2,20.3
Ashburnham-Westminster,6100000,157,128,81.5,0,28.1,22.7,49.2,21.1,26.6,17.2
Ashland,140000,184,157,85.3,0,35,10.2,54.8,10.2,12.7,24.8
Assabet Valley Regional Vocational Technical,8010000,272,136,50,0,26.5,32.4,41.2,30.1,30.1,6.6
Athol-Royalston,6150000,72,23,31.9,0,34.8,34.8,30.4,34.8,17.4,8.7
Atlantis Charter (District),4910000,63,49,77.8,0,12.2,51,36.7,51,14.3,14.3
Attleboro,160000,399,272,68.2,0,38.6,23.5,36.8,20.6,11,16.9
Auburn,170000,184,149,81,0,40.3,20.1,39.6,19.5,18.8,12.8
Avon,180000,50,41,82,0,41.5,39,19.5,39,14.6,4.9
Ayer Shirley School District,6160000,101,85,84.2,0,21.2,18.8,60,16.5,22.4,31.8
Barnstable,200000,353,276,78.2,0,32.6,30.4,37,29.7,11.6,13
Baystate Academy Charter Public School (District),35020000,47,35,74.5,0,25.7,45.7,28.6,45.7,22.9,5.7
Bedford,230000,202,156,77.2,0,39.7,9.6,50.6,9.6,7.1,23.1
Belchertown,240000,175,137,78.3,0,29.2,33.6,37.2,33.6,12.4,16.8
Bellingham,250000,149,95,63.8,0,42.1,13.7,44.2,11.6,17.9,17.9
Belmont,260000,305,260,85.2,0,66.5,3.1,30.4,1.9,1.5,16.5
Berkshire Arts and Technology Charter Public (District),4140000,30,22,73.3,4.5,36.4,13.6,45.5,13.6,27.3,13.6
Berkshire Hills,6180000,126,98,77.8,1,48,17.3,33.7,17.3,11.2,6.1
Berlin-Boylston,6200000,81,78,96.3,0,30.8,14.1,55.1,14.1,17.9,19.2
Beverly,300000,275,207,75.3,0,34.3,15.5,50.2,15.5,15.5,14.5
Billerica,310000,272,222,81.6,0,36,20.7,43.2,20.7,13.5,17.6
Blackstone Valley Regional Vocational Technical,8050000,301,237,78.7,0,36.7,6.3,57,5.9,25.3,16
Blackstone-Millville,6220000,106,66,62.3,0,33.3,13.6,53,6.1,25.8,10.6
Blue Hills Regional Vocational Technical,8060000,209,130,62.2,0,26.9,40.8,32.3,40.8,9.2,16.2
Boston,350000,3515,2237,63.6,0.4,34.9,31.4,33.2,30.8,6.1,24.9
Boston Collegiate Charter (District),4490000,72,63,87.5,0,31.7,7.9,60.3,7.9,19,38.1
Boston Day and Evening Academy Charter (District),4240000,57,22,38.6,0,13.6,54.5,31.8,54.5,13.6,18.2
Boston Green Academy Horace Mann Charter School (District),4110000,50,38,76,0,28.9,44.7,26.3,42.1,13.2,13.2
Boston Preparatory Charter Public (District),4160000,58,55,94.8,0,43.6,14.5,41.8,14.5,14.5,20
Bourne,360000,110,85,77.3,0,28.2,34.1,37.6,32.9,8.2,21.2
Braintree,400000,372,298,80.1,0.3,38.6,11.1,50,11.1,14.8,26.8
Bridgewater-Raynham,6250000,400,316,79,0.3,35.4,12.7,50.9,11.7,23.1,15.5
Bristol County Agricultural,9100000,109,74,67.9,0,21.6,28.4,50,27,13.5,14.9
Bristol-Plymouth Regional Vocational Technical,8100000,287,123,42.9,0,33.3,35,31.7,33.3,19.5,8.1
Brockton,440000,1095,649,59.3,0.5,19.3,47.8,32.2,47.5,12.8,18.2
Brookline,460000,491,402,81.9,0,60.4,4.7,34.8,4.7,2.2,20.4
Burlington,480000,249,208,83.5,0,35.6,13.5,51,13,9.1,31.3
Cambridge,490000,478,372,77.8,0,45.2,18,36.8,16.9,6.2,23.1
Canton,500000,227,202,89,0,48,7.4,44.6,6.9,9.4,17.3
Cape Cod Regional Vocational Technical,8150000,111,50,45,0,24,58,18,56,8,8
Carver,520000,83,65,78.3,0,32.3,26.2,41.5,24.6,13.8,20
Central Berkshire,6350000,145,109,75.2,0.9,25.7,26.6,46.8,26.6,20.2,16.5
Chelmsford,560000,351,289,82.3,0,39.4,11.8,48.8,11.8,6.6,27.3
Chelsea,570000,305,224,73.4,0,13.8,74.6,11.6,74.1,3.6,7.1
Chicopee,610000,500,301,60.2,0,32.2,48.5,19.3,47.5,9.6,5.3
City on a Hill Charter Public School Circuit Street (District),4370000,35,28,80,0,46.4,28.6,25,21.4,17.9,7.1
City on a Hill Charter Public School Dudley Square (District),35040000,56,46,82.1,0,26.1,28.3,45.7,28.3,2.2,41.3
City on a Hill Charter Public School New Bedford (District),35070000,27,21,77.8,0,4.8,33.3,61.9,33.3,0,57.1
Clinton,640000,106,67,63.2,0,28.4,20.9,50.7,20.9,37.3,11.9
Codman Academy Charter Public (District),4380000,35,29,82.9,0,34.5,44.8,20.7,44.8,10.3,10.3
Cohasset,650000,119,101,84.9,0,59.4,5,35.6,4,4,12.9
Community Charter School of Cambridge (District),4360000,50,44,88,0,47.7,22.7,29.5,22.7,4.5,20.5
